,0,1,2,3
BALANCE,4.97,7.39,7.16,4.21
BALANCE_FREQUENCY,0.9,0.94,0.98,0.6
PURCHASES,6.16,1.57,7.45,4.97
ONEOFF_PURCHASES,1.3,1.22,6.64,3.83
INSTALLMENTS_PURCHASES,6.04,0.48,5.31,1.68
CASH_ADVANCE,0.72,6.99,3.1,0.96
PURCHASES_FREQUENCY,0.82,0.07,0.85,0.23
ONEOFF_PURCHASES_FREQUENCY,0.05,0.04,0.56,0.14
PURCHASES_INSTALLMENTS_FREQUENCY,0.77,0.03,0.58,0.08
CASH_ADVANCE_FREQUENCY,0.02,0.3,0.12,0.02
CASH_ADVANCE_TRX,0.14,1.78,0.77,0.16
PURCHASES_TRX,2.6,0.42,3.31,1.31
CREDIT_LIMIT,7.73,8.09,8.56,7.9
PAYMENTS,802.83,1705.62,2895.94,821.21
MINIMUM_PAYMENTS,5.46,6.41,6.34,5.07
PRC_FULL_PAYMENT,0.29,0.03,0.17,0.15
TENURE,11.45,11.38,11.8,11.42
